"","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD"
Unassigned;Other;Other;Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000242196724289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32",0.0,0.00266553839645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000599204256747,0.0,0.0,0.000151372952681,0.0,0.0,0.0,0.0314897052887,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales",0.0062894484466,0.00279246879628,0.0057881175548,0.00468360230107,0.00899036149616,0.00289057123193,0.0054361488185,0.00735807167777,0.00604328297264,0.0101071307383,0.00349045941094,0.00304152340651,0.00327246956812,0.0110580383433,0.0092636355043,0.00546474282153,0.0,0.00696257615318,0.0172262420151,0.0391211690684,0.0536658083751,0.0624087181216,0.0226079935406,0.0262555540595,0.0175061619162,0.00357392874249,0.00843870900735,0.029201623816
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000135317997294
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales",0.000111515043379,0.0013750793315,0.000522797714627,0.0,0.000167262539464,0.000734113328745,0.0,0.000126863304789,0.000353885939839,0.000533229919046,0.000132969882322,0.000528960592436,0.000125062531266,0.00215926192501,0.0,0.0024687215378,0.00222319266346,0.0079703174385,0.00163482788895,0.0,0.0,0.00196607122795,0.00565199838514,0.0,0.00417114327245,0.00427397664051,0.000519305169683,0.00305818673884
"k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000203279577178,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales",0.000111515043379,0.0,0.0,0.0,0.0,0.0,0.000565610859729,0.00034887408817,0.0,0.00121188617965,0.0,0.0,0.0,0.0,0.0518322462741,0.0,0.00222319266346,0.00755805963996,0.000877963125549,0.000304444895474,0.00189727605367,0.00404448938322,0.00534921275737,0.0218796283829,0.0,0.000110533878634,0.0,0.000162381596752
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales",0.00265405803243,0.0,0.0,0.0,0.000480879800958,0.0,0.0,0.000158579130986,0.00185109568531,0.0,0.00751279835117,0.0,0.0,0.00140679186024,0.000504143428805,0.0,0.0,0.00297741743392,0.0,0.0,0.0,0.00426918323784,0.00105974969721,0.000201965800458,0.0,0.0,0.0,0.0046549391069
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000158579130986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Spirochaetes;c__[Brachyspirae];o__[Brachyspirales]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000378890392422
"k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000119840851349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39",0.0,0.00114237359848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00150075037519,0.0,0.0,0.0,0.0,0.0,0.000121098362145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Tenericutes;c__RF3;o__ML615J-28",0.0,0.000486566532685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Verrucomicrobia;c__Opitutae;o__[Cerasicoccales]",0.0,0.000888512798815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales",0.0,0.00190395599746,0.0,0.0,0.0,0.0,0.0,0.00174437044085,0.0,0.0,0.0,0.0,0.000541937635484,0.0,0.0,0.0140453477782,0.0,0.0,0.000877963125549,0.0126344631622,0.0,0.0,0.0,0.0,0.0068255071731,0.000221067757268,0.0765455820113,0.0
