"","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD"
"Unassigned;Other;Other;Other;Other;Other",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000242196724289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides",0.152842518456,0.0396022847472,0.0967549198999,0.0620068217686,0.111208680926,0.0412479926589,0.255153343389,0.174088169997,0.178086293725,0.113093218285,0.0315138621102,0.0658115137089,0.0224695681174,0.0695544068573,0.609887512997,0.186951728105,0.314859660963,0.0817644633778,0.191274863007,0.522934848792,0.354858381895,0.322154814066,0.45054501413,0.427426955702,0.35732794034,0.419770826425,0.127930828551,0.38300405954
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides",0.0031447242233,0.00471757986038,0.00866350498525,0.00185816830423,0.0016517175772,0.00261527873365,0.00999245852187,0.00504281636537,0.00397441132435,0.00315090406709,0.0030583072934,0.023009785771,0.0034392196098,0.0106327291762,0.050981504238,0.00814917789176,0.028901504625,0.0149328935917,0.0165904756138,0.0238989242947,0.0510231738718,0.0400516795866,0.0292692773516,0.0129258112293,0.0110282500158,0.0154747430087,0.0140991353569,0.031447902571
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00126398280983,0.0,0.0,0.0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella",0.0,0.00228474719695,0.0,0.0250216362063,0.0,0.0103234686855,0.0,0.0,0.0,0.0,0.19473439266,0.0,0.209104552276,0.506543217955,0.00497841635945,0.000167777191889,0.000238199213943,0.251614676378,0.00326965577791,0.0,0.00101639788589,0.0,0.0,0.0,0.0106806547431,0.00029475700969,0.0,0.0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__",0.00528581305618,0.00725618785699,0.00545203330968,0.00285088835718,0.000543603253256,0.000825877494838,0.00361362493715,0.00526482714875,0.00832993058391,0.0135973629357,0.000398909646965,0.0127832143172,0.00143821910955,0.00494012955572,0.0,0.0161785149322,0.020802731351,0.0259722413082,0.0251884593261,0.0618023137812,0.00589510773818,0.0162341309965,0.00504642712959,0.0148108253669,0.0414902357328,0.0131903761836,0.0481395892296,0.0421109607578
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7;g__",0.0,0.00539454199281,0.0,0.0,0.0,0.00330350997935,0.0,0.0,0.0,0.0,0.00132969882322,0.0,0.0,0.0,0.0,0.000934758640525,0.0,0.0,0.000181647543217,0.0,0.0,0.0,0.0,0.0,0.00129558238008,0.0,0.0,0.0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Barnesiellaceae];g__",0.0,0.00262322826317,0.0,0.00167998778191,0.0,0.0,0.0,0.0,0.000462773921328,0.0,0.0,0.0,0.0,0.0,0.0,0.0022290398351,0.0,0.000641289908845,0.00323938118737,0.0,0.0,0.0,0.00514735567218,0.0,0.0,0.0,0.00553060005712,0.0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Butyricimonas",0.0,0.000232705733023,0.000373426939019,0.000458178485975,0.0,0.000229410415233,0.0,0.000158579130986,0.0,0.0,0.0,0.0,0.0,0.00127592750115,0.0,0.00170174008916,0.0,0.00316064312217,0.00112015984984,0.0,0.0,0.0,0.00363342753331,0.0,0.00205397206598,0.0,0.0,0.0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Odoribacter",0.00107054441644,0.000253860799662,0.0,0.00012727180166,0.000376340713793,0.00146822665749,0.0,0.000729464002537,0.00111610181026,0.00096950894372,0.000132969882322,0.0,0.000646156411539,0.000523457436367,0.0,0.00160586740808,0.0,0.00114516055151,0.00190729920378,0.00756038157094,0.00453991055699,0.00185372430064,0.000656035526847,0.00531843274539,0.00385514756999,0.000147378504845,0.00394671928959,0.0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__",0.0,0.0,0.0,0.0,0.0,0.000596467079605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000821588826392,0.0,0.0,0.0
