"","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control"
"Unassigned;Other;Other;Other;Other;Other",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000155096470004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000406559154357,0.0,0.0,0.0,0.0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__",0.0,0.0,0.0,0.000114198705748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides",0.0847762729299,0.0848399974918,0.0068157435261,0.026722497145,0.0561229796351,0.0214155241555,0.0118180568916,0.0372018974592,0.0856949305634,0.0850002320509,0.176895481869,0.0590007465074,0.0271031326998,0.10904993427,0.0446020753962,0.193089880189,0.0311908766029,0.427476890626,0.0638675648859,0.312075361594,0.0810670541831,0.0654770013168,0.233252472476,0.00384264071309,0.243290805103,0.0490581379591,0.0571324190647,0.117893080459,0.268907363983,0.067138168774
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides",0.0042216698097,0.00455657044918,0.00185118959968,0.0027788351732,0.0,0.00174263578912,0.00343548165453,0.00100721294431,0.00169357570283,0.00297025107904,0.00370855148342,0.00634531299989,0.00180394227385,0.0,0.00486223662885,0.0111631813962,0.000236493588396,0.0243191264967,0.00425609692412,0.028802467592,0.00463635734551,0.00672024701448,0.00171673819742,0.00144886453117,0.00232543523349,0.00199891584226,0.00562050359712,0.00575593192265,0.0156090859566,0.0057241712672
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000162435605885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella",0.0,0.0,0.0330900140943,0.000875523410735,0.0,0.0514812404208,0.000366451376483,0.136071219702,0.0,0.0,0.0,0.257518396076,0.0,0.246916929241,0.0,0.0,0.226849905403,0.0,0.00336832210559,0.0,0.552141720296,0.0220678381692,0.000186601977981,0.534284544395,0.0,0.0,0.0,0.000207047910887,0.0,0.0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__",0.00051431510372,0.00675124887653,0.00856175189852,0.00723258469737,0.0,0.00554284154612,0.0028858045898,0.0111443238677,0.000188175078093,0.0120898500951,0.00523560209424,0.0,0.00615980288631,0.0,0.0105453703509,0.00809054334851,0.00102480554972,0.0180532291085,0.00785941824638,0.128589887875,0.00134938758563,0.0339190845934,0.0251539466318,0.00286623200731,0.0,0.00843610245291,0.0112129046763,0.00670835231273,0.0974916506786,0.0120334800417
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7;g__",0.0,0.0,0.0,0.0,0.0,0.0041781267715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000154737167868,0.000105108261509,0.0,0.0,0.0,0.0,0.0,0.0,0.00639390217015,0.0,0.0,0.00174235611511,0.0,0.0,0.0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Barnesiellaceae];g__",0.0,0.0,0.0,0.00414921964218,0.0,0.0,0.00164903119417,0.0,0.0,0.0,0.0,0.0,0.00228792678634,0.0,0.00214696162832,0.0,0.0,0.00390843104411,0.0,0.0,0.000726593315341,0.00140761930709,0.0,0.000125988220101,0.0,0.000304919365768,0.0033160971223,0.000828191643546,0.00679788720718,0.00188261632788
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Butyricimonas",0.0,0.000501640783396,0.0,0.000532927293491,0.0,0.00149068844611,0.000458064220604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000294681007809,0.0019010566338,0.0,0.00210931199206,0.0,0.0,0.0,0.00149843345593,0.0,0.000913414595735,0.0,0.000474319013416,0.0,0.000289867075241,0.00348184466709,0.000610578268502
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Odoribacter",0.0,0.000982379867483,0.000105181227255,0.000647125999239,0.0,0.000440907850259,0.000137419266181,0.000649814802781,0.0,0.0,0.0,0.0,0.000527983104541,0.0,0.000631459302448,0.0,0.0,0.0,0.000313332288892,0.00621066233171,0.000311397135146,0.00118058393498,0.0,0.000157485275127,0.00804474891584,0.000542078872476,0.00348471223022,0.000372686239596,0.00566095833629,0.000279848373063
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000818923430659,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__Paraprevotella",0.0,0.0,0.0,0.000266463646745,0.0,0.00195259190829,0.0,0.0,0.0,0.0,0.0,0.0,0.0026399155227,0.0,0.000378875581469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000850420485685,0.0,0.0,0.0,0.0,0.0,0.00536800061058
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__[Prevotella]",0.0,0.0,0.00555356879904,0.000647125999239,0.0,0.0,0.00109935412945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0157662392264,0.0,0.0,0.0,0.0,0.0,0.0,0.0191502094554,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2;f__;g__",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00118246794198,0.0,0.0,0.0,0.0,0.0,0.0,0.0129767866704,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;f__;g__",0.0,0.0,0.0,0.0,0.00291223763859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000183939457641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Elusimicrobia;c__Elusimicrobia;o__Elusimicrobiales;f__Elusimicrobiaceae;g__",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0117169044694,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000236493588396,0.000217135058006,0.0,0.0,0.000103799045049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Listeriaceae;Other",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017599436818,0.0,0.0,0.0,0.000210216523019,0.000186115764005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus",0.0,0.0,0.0,0.0,0.0,0.0,0.000183225688241,0.0,0.0,0.0,0.0,0.000159965873947,0.0,0.000146067650189,0.0,0.0,0.000683203699811,0.000279173646008,0.000156666144446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;Other;Other",0.000342876735813,0.0,0.0,0.0,0.0,0.0,0.0,0.000162453700695,0.0,0.0,0.0,0.0,0.00035198873636,0.0,0.0,0.0,0.0,0.000310192940009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000169399647649,0.0,0.0,0.0,0.000178085328313
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__;g__",0.0,0.0,0.0,0.000190331176247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Aerococcus",0.0,0.0,0.0,0.0,0.0,0.000104978059586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella",0.0,0.0,0.0,0.000114198705748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;Other",0.0,0.0,0.0,0.0,0.000104008487093,0.0,0.0,0.0,0.0,0.0,0.0,0.00383918097473,0.000131995776135,0.000166934457359,0.0,0.0,0.000131385326887,0.00037223152801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00250665831114,0.0,0.0,0.000181628297689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus",0.0,0.0,0.00220880577235,0.0,0.0,0.0,0.000137419266181,0.000942231464033,0.0,0.000255255952105,0.0,0.000586541537805,0.0,0.0,0.000442021511714,0.000707369910252,0.0721568215262,0.00034121223401,0.0,0.0,0.0,0.0,0.00697891397649,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Pediococcus",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00755378419548,0.0,0.0,0.00147151566113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000224820143885,0.0,0.0,0.0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus",0.000878621635522,0.000418033986163,0.0,0.0,0.0,0.0,0.00114516055151,0.0,0.0,0.0,0.0,0.00807827663432,0.0,0.0,0.0,0.0,0.0,0.00186115764005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000203279577178,0.000224820143885,0.000207047910887,0.0,0.0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus",0.00302160123436,0.00129590535711,0.000589014872626,0.000190331176247,0.000187215276767,0.00522790736736,0.000870322019147,0.00243680551043,0.00188175078093,0.00401447997401,0.0,0.00575877146209,0.00118796198522,0.0498090687144,0.00389399903176,0.00360316548035,0.0114042463738,0.0110428686643,0.00697164342786,0.0,0.0,0.000227035372111,0.00742675872364,0.000377964660304,0.00025139840362,0.00111803767448,0.00275404676259,0.00625284690877,0.000568464435444,0.000305289134251
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae;g__Turicibacter",0.00381450368592,0.000961478168175,0.00504869890822,0.000304529881995,0.0,0.0,0.000458064220604,0.0026642406914,0.000790335327989,0.00833062607324,0.0,0.00127972699158,0.00026399155227,0.00108507397283,0.00204171841125,0.0,0.00102480554972,0.000682424468019,0.000287221264818,0.0,0.00290637326137,0.000136221223267,0.000111961186789,0.000314970550254,0.0,0.000237159506708,0.00188286870504,0.0,0.0,0.000992189686315
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;Other;Other",0.000192868163895,0.000167213594465,0.000357616172666,0.00102778835173,0.0,0.000755842029016,0.000732902752966,0.000389888881669,0.000225810093711,0.000487306817654,2.42388985844e-05,0.000533219579823,0.000615980288631,0.0,0.000315729651224,8.84212387816e-05,0.000183939457641,0.0,2.61110240744e-05,0.0,0.0,4.54070744222e-05,3.73203955962e-05,0.0,0.0,0.0,2.81025179856e-05,0.0,0.0,2.54407611876e-05
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__",0.00930053145894,0.0137115147461,0.0381807854934,0.0307194518462,0.000644852619974,0.0142140292679,0.0409051348999,0.030151406849,0.00278499115577,0.0290527683668,0.00925925925926,0.00194625146635,0.0606740584301,0.00724078208793,0.0623039845082,0.011317918564,0.0111151986546,0.000992617408028,0.037573763643,0.0140052519695,0.00598574493115,0.145847523044,0.0366486284755,0.0162209833381,0.034441581296,0.0534625287979,0.0599145683453,0.0122572363245,0.0129088798882,0.0105579158928
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__",0.0,0.000271722091006,0.0185750047332,0.0186524552722,0.0,0.000881815700519,0.0262470798406,0.000324907401391,0.0,0.000208845778995,0.000145433391507,0.000213287831929,0.0035198873636,0.0,0.00926140310257,0.0,0.000814589026697,0.000186115764005,0.000208888192595,0.000500187570339,0.0,0.00608454797257,0.000634446725135,0.00113389398091,0.0,0.0356078059358,0.00463691546763,0.0,0.0098060115114,0.00200982013382
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__Christensenella",0.0,0.0,0.0,0.0,0.0,0.000104978059586,0.000229032110302,0.0,0.0,0.0,0.0,0.0,0.000131995776135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000135519718119,0.000196717625899,0.0,0.0,0.0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;Other",0.00064289387965,0.000836067972326,0.0453120727013,0.0143890369242,0.0,0.0214995066031,0.0314690119555,0.00428877769836,0.00538180723345,0.0163595860213,0.00201182858251,0.00911805481497,0.0161474832805,0.00665651148718,0.007051295544,0.0019231619435,0.0025488753416,0.00759972703021,0.0114627395686,0.0,0.0112794962286,0.00222494664669,0.000261242769173,0.000818923430659,0.00062849600905,0.00128743732213,0.00309127697842,0.0,0.00139747507047,0.00557152670008
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__",0.00525030001714,0.00158852914742,0.0554305067632,0.00559573658165,0.00671894826618,0.0119674987928,0.0144748293711,0.012378971993,0.000526890218659,0.0226249593911,0.00201182858251,0.0125039991468,0.00497184090109,0.0107046720781,0.00136816182197,0.000729475219948,0.00572840025226,0.0210310813326,0.00890385920936,0.000791963653037,0.00484395543561,0.00363256595378,0.00220190334018,0.00529150524426,0.00257683363711,0.00260875457379,0.00306317446043,0.0,0.00168170728819,0.0127712621162
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium",0.00038573632779,0.000710657776477,0.00046279739992,0.000190331176247,0.0,0.0015956665057,0.0,0.0,0.0,0.000580127163874,0.00593853015319,0.00023994881092,0.00206793382612,0.00231621559585,0.000105243217075,0.000773685839339,0.00112991381123,0.0,0.00355109927411,0.000416822975282,0.000380596498512,0.000363256595378,0.0117559246128,0.0,0.0104330337502,0.0,0.0042996852518,0.0,0.000852696653166,0.00124659729819
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__SMB53",0.0,0.0,0.00109388476345,0.0,0.0,0.000167964895337,0.000137419266181,0.0,0.0,0.000116025432775,0.0,0.000133304894956,0.000219992960225,0.0,0.0,0.0,0.0,0.000155096470004,0.000182777168521,0.0,0.000622794270293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000178085328313
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Dehalobacteriaceae;g__Dehalobacterium",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00127139808382,0.0,0.0,0.0,0.000271039436238,0.000309127697842,0.0,0.0,0.0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__EtOH8;g__",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000337230215827,0.0,0.000402662308439,0.0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Anaerofustis",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000806501644023,0.0,0.00112542203326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Pseudoramibacter_Eubacterium",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037223152801,0.0,0.0,0.0,0.000136221223267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;Other",0.0807046116921,0.0284681144577,0.0267581042136,0.0311762466692,0.0249828385996,0.0436918683995,0.0515322248179,0.0309961660927,0.0330435437131,0.050633498863,0.0476294357184,0.0310333795457,0.0305350228793,0.00421509504831,0.0117240943821,0.00890843980724,0.0314273701913,0.00248154352007,0.0169460546243,0.00433495894294,0.00612414365788,0.00703809653544,0.0189214405673,0.0121263661848,0.0123185217774,0.0118240954059,0.0115782374101,0.0161497370492,0.0108718823279,0.014246826265
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__",0.373628493057,0.195451790231,0.0313860782128,0.0691282832128,0.114450939197,0.206029939743,0.0491044844487,0.0997790629671,0.221331526853,0.237596881236,0.256350591429,0.106803881839,0.160198873636,0.0957995117167,0.0837736007914,0.156925593528,0.110889215892,0.0257149947267,0.153219489268,0.0463090325539,0.0258805618988,0.0316487308723,0.1533868259,0.0354341869035,0.118408648105,0.0584767583683,0.0550528327338,0.201995941861,0.0955020251546,0.102322741496
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes",0.0,0.00300984470037,0.000189326209058,0.00319756376094,0.0,0.000629868357513,0.000183225688241,0.00168951848723,0.0132475254977,0.00408409523368,0.00307834012022,0.0,0.00466385075678,0.00926486238341,0.000862994380012,0.00417790353243,0.00157662392264,0.000217135058006,0.00279387957596,0.00187570338877,0.0,0.000136221223267,0.00768800149282,0.0,0.00025139840362,0.00294755386909,0.00193907374101,0.00488633069692,0.00315024041308,0.0028748060142
