"","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control"
"Unassigned;Other;Other;Other;Other;Other",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000155096470004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000406559154357,0.0,0.0,0.0,0.0
"k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter",0.0,0.0,0.0,0.00304529881995,0.0,0.000587877133679,0.00540515780312,0.0,0.0,0.0,0.0,0.0,0.00281590989088,0.0,0.00435706918689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15;f__;g__",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000183939457641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces",0.0,0.000104508496541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000229534878868,0.0,0.0,0.0,0.00034121223401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Cellulomonadaceae;g__Actinotalea",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000105108261509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000255255952105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Dermabacteraceae;g__Brachybacterium",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000157662392264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Microbispora",0.0,0.0,0.0,0.0,0.0,0.000104978059586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000186115764005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Mycobacteriaceae;g__Mycobacterium",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000219992960225,0.0,0.0,0.0,0.000105108261509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Propionibacteriaceae;g__Propionibacterium",0.0,0.0,0.0,0.0,0.0,0.000272942954922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00078831196132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium",0.0252442996743,0.0320423050394,0.0286513663041,0.225923106205,0.0503193060554,0.0993722312037,0.133296688196,0.014490870102,0.0105001693576,0.0377314707384,0.0331588132635,0.0112775941133,0.00145195353749,0.0236003589091,0.13498495022,0.00298421680888,0.0381017447971,0.000527327998015,0.0495326126691,0.0125880538535,0.00387516434849,0.0163011397176,0.0142563911177,0.00910264890233,0.010621582553,0.017075484483,0.00885229316547,0.0,0.00265283403207,0.0220316991884
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__",0.000364306531802,0.000209016993082,0.0466583924101,0.00228397411496,0.0,0.00119674987928,0.00980257432092,0.0,0.000112905046856,0.000208845778995,0.000242388985844,0.0,0.000219992960225,0.0,0.000399924224884,0.0,0.000289047719151,0.00127179105404,0.000626664577785,0.000125046892585,0.0,0.000544884893066,0.000223922373577,0.000755929320609,0.0,0.00386231196639,0.00266973920863,0.0,0.000142116108861,0.00165364947719
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Adlercreutzia",0.000171438367907,0.00033442718893,0.000189326209058,0.000609059763989,0.0,0.000230951731088,0.000916128441207,0.000162453700695,0.000564525234278,0.000696152596649,0.0,0.000319931747894,0.000747976064766,0.0,0.0,0.0,0.0,0.00421862398412,0.00060055355371,0.000125046892585,0.000207598090098,0.0,0.00108229147229,0.0,0.000565646408145,0.00162623661743,0.000365332733813,0.000993829972256,0.000236860181435,0.00379067341695
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella",0.0175510029145,0.00618690299521,0.00540631508088,0.0370765131329,0.0,0.0232001511684,0.0807567220924,0.0184872311391,0.0,0.0,0.0,0.0311666844407,0.00695177754312,0.0,0.017449325391,0.00793580618064,0.00775173428631,0.000899559526025,0.00986996710011,0.0,0.0044633589371,0.00476774281433,0.00436648628475,0.0022362909068,0.00232543523349,0.00894430139585,0.00385004496403,0.0,0.00286600819536,0.0234055002926
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Eggerthella",0.000364306531802,0.000501640783396,0.0,0.000152264940997,0.00172654088574,0.0,0.0,0.000942231464033,0.000112905046856,0.000348076298325,0.0026420399457,0.000293270768903,0.0,0.000438202950567,0.0,0.00260842654406,0.000262770653773,0.0,0.0,0.000250093785169,0.0,0.0,0.000149281582385,0.0,0.000188548802715,0.000135519718119,0.0,0.000993829972256,0.000284232217722,0.0
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Slackia",0.0,0.0,0.00370237919936,0.000418728587743,0.0,0.000839824476684,0.00201548257066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000589362015618,0.0,0.000578095438301,0.0,0.0,0.0,0.0,0.000635699041911,0.0,0.000314970550254,0.0,0.0,0.0,0.0,0.0,0.00206070165619
