"","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control","Control"
"Unassigned;Other;Other;Other;Other;Other;Other",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000155096470004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000406559154357,0.0,0.0,0.0,0.0
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__longum",0.0252442996743,0.0198775160421,0.00366030670846,0.0188808526837,0.0503193060554,0.00214155241555,0.0278044981906,0.00100721294431,0.0,0.0154777927322,0.0,0.0,0.00145195353749,0.0236003589091,0.0175966658949,0.00276316371192,0.0126918225773,0.0,0.00843386077602,0.0125880538535,0.000103799045049,0.00590291967489,0.00925545810786,0.000503952880406,0.00678775689774,0.00528526900664,0.000646357913669,0.0,0.000734266562448,0.00384155493932
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__;s__",0.000364306531802,0.000209016993082,0.0466583924101,0.00228397411496,0.0,0.00119674987928,0.00980257432092,0.0,0.000112905046856,0.000208845778995,0.000242388985844,0.0,0.000219992960225,0.0,0.000399924224884,0.0,0.000289047719151,0.00127179105404,0.000626664577785,0.000125046892585,0.0,0.000544884893066,0.000223922373577,0.000755929320609,0.0,0.00386231196639,0.00266973920863,0.0,0.000142116108861,0.00165364947719
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Adlercreutzia;s__",0.000171438367907,0.00033442718893,0.000189326209058,0.000609059763989,0.0,0.000230951731088,0.000916128441207,0.000162453700695,0.000564525234278,0.000696152596649,0.0,0.000319931747894,0.000747976064766,0.0,0.0,0.0,0.0,0.00421862398412,0.00060055355371,0.000125046892585,0.000207598090098,0.0,0.00108229147229,0.0,0.000565646408145,0.00162623661743,0.000365332733813,0.000993829972256,0.000236860181435,0.00379067341695
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__",0.00124292816732,0.0,2.10362454509e-05,0.0,0.0,0.0,4.58064220604e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__aerofaciens",0.0163080747471,0.00618690299521,0.00538527883543,0.0370765131329,0.0,0.022801234542,0.0807109156704,0.0184872311391,0.0,0.0,0.0,0.0311666844407,0.00695177754312,0.0,0.017449325391,0.000221053096954,0.00775173428631,0.000899559526025,0.00986996710011,0.0,0.0044633589371,0.00476774281433,0.00436648628475,0.0022362909068,0.00232543523349,0.00894430139585,0.00385004496403,0.0,0.00286600819536,0.0234055002926
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__stercoris",0.0,0.0,0.0,0.0,0.0,0.000398916626425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00771475308369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Eggerthella;s__lenta",0.000364306531802,0.000501640783396,0.0,0.000152264940997,0.00172654088574,0.0,0.0,0.000942231464033,0.000112905046856,0.000348076298325,0.0026420399457,0.000293270768903,0.0,0.000438202950567,0.0,0.00260842654406,0.000262770653773,0.0,0.0,0.000250093785169,0.0,0.0,0.000149281582385,0.0,0.000188548802715,0.000135519718119,0.0,0.000993829972256,0.000284232217722,0.0
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Slackia;s__",0.0,0.0,0.00370237919936,0.000418728587743,0.0,0.000839824476684,0.00201548257066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000589362015618,0.0,0.000578095438301,0.0,0.0,0.0,0.0,0.000635699041911,0.0,0.000314970550254,0.0,0.0,0.0,0.0,0.0,0.00206070165619
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__;s__",0.0,0.0,0.0,0.000114198705748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__",0.0634536259215,0.0552222895721,0.00405999537203,0.0209744956224,0.041603394837,0.0177622876819,0.0101232192753,0.0300539346286,0.0595385947085,0.0640228338052,0.068886949777,0.0498560307134,0.0228352692714,0.10904993427,0.0307310193858,0.139418188249,0.0279062434307,0.387058750543,0.0492715024283,0.227627026802,0.0766382949277,0.0411842165009,0.143310319089,0.00245677029198,0.0629753001068,0.0264941048923,0.0503316097122,0.0446809391693,0.229635945901,0.0555880631949
