"","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD"
"Unassigned;Other;Other;Other;Other",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000242196724289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae]",0.00107054441644,0.000486566532685,0.000373426939019,0.000585450287634,0.000376340713793,0.00169763707272,0.0,0.000888043133524,0.00111610181026,0.00096950894372,0.000132969882322,0.0,0.000646156411539,0.00179938493751,0.0,0.00330760749724,0.0,0.00430580367368,0.00302745905362,0.00756038157094,0.00453991055699,0.00185372430064,0.00428946306015,0.00531843274539,0.00590911963597,0.000147378504845,0.00394671928959,0.0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae]",0.0,0.0,0.0,0.0,0.0,0.00908465244322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00268271936138,0.0,0.00627966061071,0.0,0.00549677064724,0.0,0.0,0.0479739802141,0.0253342321088,0.0,0.0,0.00695190545409,0.000110533878634,0.00345337937839,0.0
"k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2;f__",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00495263870095
"k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;f__",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000135519718119,0.0,0.000555106984255,0.0,0.0,0.0,0.0,0.000757780784844
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000157544821502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Listeriaceae",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000126035857201,0.0,0.0,0.0,0.0,0.0,0.0,0.000112346927312,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000132969882322,0.0,0.0,0.0,0.000157544821502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;Other",0.000156121060731,0.0,0.000112028081706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000964031646832,0.0,0.0,0.0,0.0,0.0,0.0,0.000137419266181,0.0,0.0,0.0,0.0,0.000353249899071,0.0,0.0,0.0,0.000181756809389,0.0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__",0.0,0.0,0.00018671346951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000363565853895,0.011169470115,0.0,0.0,0.0,0.000157544821502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000269287733944,0.0,0.0,0.0,0.0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae",0.0,0.0,0.0,0.0054981418317,0.0,0.0179857765543,0.0,0.0,0.0,0.000412041301081,0.0,0.00370272414705,0.0,0.0,0.00236317232253,0.000311586213508,0.0,0.0,0.0,0.0070022325959,0.0,0.0,0.0,0.0,0.00142198066106,0.0,0.000467374652715,0.0
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae",0.0,0.0,0.000149370775608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00107438538836,0.0,0.0,0.0
