"","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD"
"Unassigned;Other",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000242196724289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Archaea;p__Euryarchaeota",0.0,0.00353289612862,0.0,0.000152726161992,0.0,0.00155999082358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000119840851349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Actinobacteria",0.0480852867052,0.09502855934,0.0693453825759,0.0579086697551,0.0926425390453,0.0963523743978,0.0448403720463,0.0415160164922,0.00849326255615,0.002084444229,0.0979323183299,0.110817244115,0.0845005836251,0.00153765621933,0.00138639442922,0.029576722113,0.000317598951923,0.015161925702,0.0537373982017,0.0646437994723,0.00555630844288,0.017132906415,0.000353249899071,0.0159552982362,0.0180433546104,0.00449504439777,0.0361176745515,0.0171583220568
"k__Bacteria;p__Bacteroidetes",0.162343600152,0.0645864184472,0.111243885134,0.0943084050298,0.11378034247,0.0820371644873,0.268759426848,0.185283856644,0.191969511365,0.130810994231,0.231168140416,0.101604513797,0.241224779056,0.596152587843,0.665847433595,0.225133023345,0.364802096153,0.384728138885,0.242771941509,0.616196468439,0.465306952162,0.405628581058,0.494297537344,0.460482025044,0.435947671112,0.448988615011,0.203100251863,0.456562922869
"k__Bacteria;p__Cyanobacteria",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000135519718119,0.0,0.000555106984255,0.0,0.0,0.0,0.0,0.00571041948579
"k__Bacteria;p__Firmicutes",0.780404576577,0.825597630633,0.813099817021,0.842946596752,0.783938614648,0.816425785731,0.680398441428,0.76330478909,0.791288961481,0.855252314703,0.659763313609,0.784007758089,0.668834417209,0.387685663809,0.182279358477,0.722472556445,0.630433919568,0.574641564747,0.682358996095,0.267099654962,0.473234855671,0.504550050556,0.438635446104,0.474484987209,0.510996650446,0.537968387311,0.675278477397,0.48297699594
"k__Bacteria;p__Fusobacteria",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0888867882913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000740541268345,0.00650951147064,0.000368446262113,0.0,0.0
"k__Bacteria;p__Proteobacteria",0.00916653656578,0.00683308652422,0.00631091526943,0.00468360230107,0.00963850383658,0.00362468456068,0.00600175967823,0.0081509673327,0.0082482645978,0.011852246837,0.0111362276444,0.00357048399894,0.00339753209938,0.0146240921285,0.0616000252072,0.00853266861608,0.00444638532693,0.0254683706656,0.0198904059823,0.0394256139639,0.055766364006,0.0726884619706,0.066158659669,0.0483371482429,0.0216773051886,0.00795843926163,0.00895801417703,0.0372124492558
"k__Bacteria;p__Spirochaetes",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000378890392422
"k__Bacteria;p__Synergistetes",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000119840851349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Tenericutes",0.0,0.00162894013116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00150075037519,0.0,0.0,0.0,0.0,0.0,0.000121098362145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Verrucomicrobia",0.0,0.00279246879628,0.0,0.0,0.0,0.0,0.0,0.00174437044085,0.0,0.0,0.0,0.0,0.000541937635484,0.0,0.0,0.0140453477782,0.0,0.0,0.000877963125549,0.0126344631622,0.0,0.0,0.0,0.0,0.0068255071731,0.000221067757268,0.0765455820113,0.0
