"","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD","ADHD"
"Unassigned;Other;Other;Other;Other;Other;Other",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000242196724289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__aerofaciens",0.0,0.030717156759,0.0235632398521,0.0156544316041,0.0,0.0174351915577,0.0,0.00513796384396,0.00353885939839,0.0,0.0521241938701,0.0289165123865,0.00614890778723,0.00153765621933,0.0,0.0122237668376,0.0,0.00966515505474,0.0109291271836,0.00568297138218,0.0,0.0,0.0,0.0,0.0,0.0,0.0116843663179,0.00633288227334
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__stercoris",0.0031447242233,0.0,0.00141902236827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00106375905857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00426918323784,0.0,0.0,0.00189597421475,0.000257912383479,0.000129826292421,0.0
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Eggerthella;s__lenta",0.000669090260276,0.0,0.00160573583778,0.0,0.000961759601915,0.00013764624914,0.00191679235797,0.0,0.000136109976861,0.00121188617965,0.000365667176385,0.000264480296218,0.0,0.0,0.0,0.0,0.000317598951923,0.0,0.0,0.000253704079562,0.0050142295704,0.0,0.000353249899071,0.000269287733944,0.000315995702458,0.0,0.000155791550905,0.0
"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Slackia;s__",0.0,0.000846202665538,0.0,0.000356361044647,0.0,0.0,0.0,0.000666032350143,0.0,0.0,0.000199454823482,0.0,0.0,0.0,0.0,0.0,0.0,0.000320644954423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00113667117727
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__;s__",0.0,0.00222128199704,0.0,0.000305452323983,0.0,0.0129387474191,0.0,0.0,0.0,0.0,0.0,0.0,0.00412706353177,0.0,0.0,0.000934758640525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;Other",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000408329930584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00105548037889
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__",0.145304101523,0.0355828220859,0.0842077747489,0.0487451000356,0.0809341612829,0.0239045652673,0.0785570638512,0.130827783064,0.161616986525,0.0722526540307,0.0276909779935,0.0532927796879,0.0195097548774,0.0647451416607,0.398115763935,0.148962178227,0.269046012148,0.0688012459347,0.0962429233145,0.387507611122,0.25579346795,0.291259409055,0.299303593056,0.263565369597,0.282278961006,0.376257322869,0.0427647807234,0.339539918809
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__caccae",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000976777893311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.41271989175e-05
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__eggerthii",0.0,0.0,0.0,0.0,0.0,0.00701995870613,0.0,0.00269584522677,0.0,0.0,0.0,0.0,0.0,0.000294444807957,0.0,0.0086764776377,0.0,0.000870322019147,0.0,0.0,0.0,0.0,0.0,0.0329204254746,0.0436706060798,0.00125271729118,0.0,0.0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__fragilis",0.0,0.0,0.0,0.000738176449626,0.0,0.0,0.000628456510809,0.0,0.000326663944467,0.0,0.000232697294063,0.0,0.000541937635484,0.0,0.0530295869175,0.0,0.0,0.0,0.00127153280252,0.00101481631825,0.0,0.000224693854623,0.00267460637868,0.00727076881648,0.00398154585098,0.000221067757268,0.0,0.0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__ovatus",0.00131587751188,0.00325788026232,0.00369692669629,0.00053454156697,0.0171653181124,0.0,0.0972850678733,0.0194100856327,0.0136109976861,0.0408405642542,0.000232697294063,0.012518734021,0.000416875104219,0.000948766603416,0.111478715695,0.00975504529984,0.0177061415697,0.00632128624433,0.0274590536163,0.0561700832149,0.0496002168315,0.00808897876643,0.000857892612031,0.0900767470042,0.000189597421475,0.000184223131056,0.00298600472568,0.00165087956698
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__plebeius",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00309154976398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0684703866227,0.0
