Taxon	ADHD1	ADHD2	ADHD3	ADHD4	ADHD5	ADHD6	ADHD7	ADHD8	ADHD9	ADHD10	ADHD11	ADHD12	ADHD13	ADHD14	ADHD15	ADHD16	ADHD17	ADHD18	ADHD19	ADHD20	ADHD21	ADHD23	ADHD24	ADHD25	ADHD26	ADHD27	ADHD28	ADHD29	Control1	Control2	Control3	Control4	Control5	Control6	Control7	Control8	Control9	Control10	Control11	Control12	Control13	Control14	Control15	Control16	Control17	Control18	Control19	Control20	Control22	Control24	Control25	Control26	Control27	Control28	Control29	Control30	Control31	Control32
Unassigned;Other	0.0	0.0	0.000242196724289	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000406559154357	0.0	0.0	0.0	0.000155096470004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota	0.00435706918689	0.00281590989088	0.0	0.0	0.0	0.0	0.000587877133679	0.0	0.0	0.0	0.0	0.0	0.0	0.00277315585136	0.0	0.0	0.0	0.0	0.0147117630964	0.0	0.0	0.0	0.00304529881995	0.0	0.00155999082358	0.0	0.0	0.0	0.0	0.0	0.00540515780312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000119840851349	0.00353289612862	0.0	0.0	0.0	0.0	0.0	0.0	0.000152726161992	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria	0.153423561851	0.00959169306582	0.0537373982017	0.01240983968	0.00555630844288	0.0693453825759	0.125217829474	0.0130882414239	0.0393788014966	0.002084444229	0.171131248755	0.0180433546104	0.00153765621933	0.021667591052	0.0529422240313	0.00849326255615	0.0646437994723	0.0137012129973	0.0694125818197	0.00138639442922	0.00618205073545	0.00198765994451	0.266463646745	0.0200783728308	0.0963523743978	0.000353249899071	0.0222494664669	0.0112905046856	0.00854612137568	0.0135284495336	0.226787595621	0.0520458469411	0.0846077792036	0.0316438541808	0.0436953540202	0.0606297979007	0.0415160164922	0.00744463056021	0.0159552982362	0.0171583220568	0.0448403720463	0.017132906415	0.0340827864059	0.0157374100719	0.029576722113	0.09502855934	0.0926425390453	0.0392398013645	0.0242680967385	0.015161925702	0.0361176745515	0.110817244115	0.0579086697551	0.0430574810707	0.0480852867052	0.00449504439777	0.0845005836251	0.000317598951923
k__Bacteria;p__Bacteroidetes	0.063461659896	0.0405227032735	0.242771941509	0.57085262528	0.465306952162	0.111243885134	0.0882445568876	0.475678379392	0.0976318374684	0.130810994231	0.177504481179	0.435947671112	0.596152587843	0.170678498798	0.093036863663	0.191969511365	0.616196468439	0.253660989253	0.13350030518	0.665847433595	0.397948790829	0.132055157563	0.043966501713	0.260309759283	0.0820371644873	0.494297537344	0.132270807792	0.0875766813443	0.640232509861	0.214399398736	0.0218496633228	0.0561229796351	0.0559774491449	0.0608144735059	0.0895122578433	0.0796647344509	0.185283856644	0.475866989267	0.460482025044	0.456562922869	0.268759426848	0.405628581058	0.186074468776	0.0825089928058	0.225133023345	0.0645864184472	0.11378034247	0.100222768831	0.35596686351	0.384728138885	0.203100251863	0.101604513797	0.0943084050298	0.322864455583	0.162343600152	0.448988615011	0.241224779056	0.364802096153
k__Bacteria;p__Cyanobacteria	0.0	0.0	0.0	0.0129767866704	0.000135519718119	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000555106984255	0.0	0.0	0.0	0.0	0.0	0.00291223763859	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00571041948579	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Elusimicrobia	0.0	0.0	0.0	0.0117169044694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0168977629876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes	0.765202382706	0.946585709257	0.682358996095	0.383319159659	0.473234855671	0.813099817021	0.780385899347	0.486765870535	0.856112701963	0.855252314703	0.646061541526	0.510996650446	0.387685663809	0.783508966537	0.846108835576	0.791288961481	0.267099654962	0.664006033562	0.770715383158	0.182279358477	0.57450437007	0.859248830179	0.679710696612	0.711774584811	0.816425785731	0.438635446104	0.81651001226	0.895826276768	0.317521278804	0.756996330519	0.740231780496	0.887317205084	0.854281927762	0.89622577585	0.855348877079	0.842550524832	0.76330478909	0.476611452323	0.474484987209	0.48297699594	0.680398441428	0.504550050556	0.75930859705	0.876180305755	0.722472556445	0.825597630633	0.783938614648	0.845941430362	0.611626984955	0.574641564747	0.675278477397	0.784007758089	0.842946596752	0.599925349259	0.780404576577	0.537968387311	0.668834417209	0.630433919568
k__Bacteria;p__Fusobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00650951147064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0888867882913	0.0	0.0	0.000456794822992	0.0	0.0	0.0	0.0	0.0	0.00024219777178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000740541268345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000368446262113	0.0	0.0
k__Bacteria;p__Lentisphaerae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000228397411496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria	0.00469384748153	0.0	0.0198904059823	0.00686635799553	0.055766364006	0.00631091526943	0.00556383715803	0.0138802050769	0.00468198064503	0.011852246837	0.00293766182035	0.0216773051886	0.0146240921285	0.00447402477353	0.00791207672934	0.0082482645978	0.0394256139639	0.0686317641883	0.00862921726685	0.0616000252072	0.0184040360975	0.00670835231273	0.00373049105443	0.00772532188841	0.00362468456068	0.066158659669	0.0192071924806	0.00530653720221	0.0334578921874	0.0150758212123	0.00251935321332	0.00160173070123	0.00513284389002	0.00796178343949	0.0114435110578	0.0168938325761	0.0081509673327	0.0399218313791	0.0483371482429	0.0372124492558	0.00600175967823	0.0726884619706	0.0200142959257	0.0085993705036	0.00853266861608	0.00683308652422	0.00963850383658	0.0145959994431	0.00813805479624	0.0254683706656	0.00895801417703	0.00357048399894	0.00468360230107	0.0341527140877	0.00916653656578	0.00795843926163	0.00339753209938	0.00444638532693
k__Bacteria;p__Spirochaetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000378890392422	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
