Taxon	ADHD1	ADHD2	ADHD3	ADHD4	ADHD5	ADHD6	ADHD7	ADHD8	ADHD9	ADHD10	ADHD11	ADHD12	ADHD13	ADHD14	ADHD15	ADHD16	ADHD17	ADHD18	ADHD19	ADHD20	ADHD21	ADHD23	ADHD24	ADHD25	ADHD26	ADHD27	ADHD28	ADHD29	Control1	Control2	Control3	Control4	Control5	Control6	Control7	Control8	Control9	Control10	Control11	Control12	Control13	Control14	Control15	Control16	Control17	Control18	Control19	Control20	Control22	Control24	Control25	Control26	Control27	Control28	Control29	Control30	Control31	Control32
Unassigned;Other;Other	0.0	0.0	0.000242196724289	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000406559154357	0.0	0.0	0.0	0.000155096470004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria	0.00435706918689	0.00281590989088	0.0	0.0	0.0	0.0	0.000587877133679	0.0	0.0	0.0	0.0	0.0	0.0	0.00236642632649	0.0	0.0	0.0	0.0	0.0147117630964	0.0	0.0	0.0	0.00304529881995	0.0	0.00155999082358	0.0	0.0	0.0	0.0	0.0	0.00540515780312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000119840851349	0.00353289612862	0.0	0.0	0.0	0.0	0.0	0.0	0.000152726161992	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000406729524866	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria	0.13498495022	0.00167194649771	0.0416275619872	0.00910264890233	0.0	0.0424586429665	0.0997501522182	0.0125880538535	0.0321468135359	0.0	0.166177056363	0.0152309928585	0.0	0.00451100018488	0.0220316991884	0.00313052946781	0.058453419931	0.010621582553	0.0203944183697	0.00138639442922	0.00265283403207	0.0	0.225923106205	0.0142563911177	0.0772654278504	0.0	0.0163011397176	0.0105001693576	0.00387516434849	0.00298421680888	0.133296688196	0.0503193060554	0.0286513663041	0.017075484483	0.0252442996743	0.0495326126691	0.0352997145576	0.00105465599603	0.0152147569678	0.00822733423545	0.0429235796883	0.0128637231772	0.014490870102	0.00885229316547	0.0156991515268	0.0603977152528	0.0916807794434	0.0379867266905	0.023829893788	0.00499290000458	0.0211876509231	0.0813717711364	0.0393269867128	0.0112775941133	0.0433570488659	0.00372130724734	0.0757045189261	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia	0.0184386116315	0.00791974656811	0.0121098362145	0.00330719077766	0.00555630844288	0.0268867396094	0.0254676772555	0.000500187570339	0.00723198796062	0.002084444229	0.00495419239195	0.00281236175188	0.00153765621933	0.0171565908671	0.0309105248429	0.00536273308834	0.0061903795413	0.00307963044435	0.04901816345	0.0	0.00352921670338	0.00198765994451	0.0405405405405	0.00582198171301	0.0190869465474	0.000353249899071	0.00594832674931	0.000790335327989	0.0046709570272	0.0105442327247	0.0934909074252	0.00172654088574	0.0559564128994	0.0145683696978	0.018451054346	0.0110971852316	0.00621630193467	0.00638997456418	0.000740541268345	0.00893098782138	0.00191679235797	0.00426918323784	0.0195919163039	0.00688511690647	0.0138775705863	0.0346308440872	0.000961759601915	0.00125307467397	0.000438202950567	0.0101690256974	0.0149300236284	0.0294454729789	0.0185816830423	0.0317798869574	0.00472823783928	0.000773737150437	0.00879606469902	0.000317598951923
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	0.063461659896	0.0405227032735	0.242771941509	0.57085262528	0.465306952162	0.111243885134	0.0882445568876	0.475678379392	0.0976318374684	0.130810994231	0.177504481179	0.435947671112	0.596152587843	0.170678498798	0.093036863663	0.191969511365	0.616196468439	0.253660989253	0.13350030518	0.665847433595	0.397948790829	0.132055157563	0.043966501713	0.260309759283	0.0820371644873	0.494297537344	0.132270807792	0.0875766813443	0.640232509861	0.214399398736	0.0218496633228	0.0561229796351	0.0559774491449	0.0608144735059	0.0895122578433	0.0796647344509	0.185283856644	0.475866989267	0.460482025044	0.456562922869	0.268759426848	0.405628581058	0.186074468776	0.0825089928058	0.225133023345	0.0645864184472	0.11378034247	0.100222768831	0.35596686351	0.384728138885	0.203100251863	0.101604513797	0.0943084050298	0.322864455583	0.162343600152	0.448988615011	0.241224779056	0.364802096153
k__Bacteria;p__Cyanobacteria;c__4C0d-2	0.0	0.0	0.0	0.0129767866704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00495263870095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__Chloroplast	0.0	0.0	0.0	0.0	0.000135519718119	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000555106984255	0.0	0.0	0.0	0.0	0.0	0.00291223763859	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000757780784844	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia	0.0	0.0	0.0	0.0117169044694	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0168977629876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
